timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
1420980243,32767,32767,32767,32767,-62,-53,32767,32767
1420984238,32767,32767,32767,32767,32767,32767,32767,32767
1420988238,32767,32767,32767,32767,32767,32767,-53,-53
1420992238,32767,32767,32767,32767,-70,32767,32767,32767
1420996238,32767,32767,32767,32767,32767,32767,32767,32767
1421000240,32767,32767,32767,32767,32767,32767,32767,32767
1421004238,32767,32767,32767,32767,32767,-53,32767,32767
1421008238,32767,32767,32767,32767,32767,32767,-66,-66
1421012238,32767,32767,32767,32767,32767,32767,32767,32767
1421016238,32767,32767,32767,32767,-69,32767,32767,32767
1421020239,32767,32767,32767,32767,32767,32767,32767,32767
1421024238,32767,32767,32767,32767,-49,32767,32767,32767
1421028238,32767,32767,-50,32767,32767,-76,-72,-72
1421032238,32767,32767,32767,32767,32767,32767,32767,32767
1421036238,32767,32767,32767,32767,-50,32767,32767,32767
1421040238,32767,32767,32767,32767,32767,32767,32767,32767
1421044238,32767,-27,32767,-27,32767,32767,32767,32767
1421048238,32767,32767,32767,32767,32767,32767,32767,32767
1421052238,32767,32767,32767,32767,32767,-66,32767,32767
1421056238,32767,32767,32767,32767,32767,32767,32767,32767
1421060238,32767,32767,32767,32767,-63,32767,32767,32767
1421065039,32767,32767,32767,32767,32767,32767,-95,-95
1421069040,32767,32767,32767,32767,-48,32767,32767,32767
1421073039,32767,32767,32767,32767,32767,32767,32767,32767
1421077038,32767,32767,32767,32767,32767,-88,32767,32767
1421081038,32767,32767,32767,32767,32767,32767,-61,-61
1421085060,32767,32767,32767,32767,-65,32767,32767,32767
1421089038,32767,32767,32767,32767,32767,32767,32767,32767
1421093038,32767,32767,32767,32767,32767,32767,32767,32767
1421097038,32767,32767,32767,32767,32767,-57,32767,32767
1421101039,32767,32767,32767,32767,32767,32767,-74,-74
1421105038,32767,32767,32767,32767,32767,32767,32767,32767
1421109038,32767,32767,32767,32767,-66,32767,32767,32767
1421113061,32767,32767,32767,32767,32767,32767,32767,32767
1421117041,32767,32767,32767,32767,32767,32767,32767,32767
1421121038,32767,32767,32767,32767,-58,-49,-76,-76
1421125038,32767,32767,32767,32767,32767,32767,32767,32767
1421129038,32767,32767,32767,32767,32767,32767,32767,32767
1421133038,32767,32767,32767,32767,-68,32767,32767,32767
1421137038,32767,32767,32767,32767,32767,32767,32767,32767
1421141057,32767,32767,32767,32767,32767,32767,32767,32767
1421145038,32767,32767,32767,32767,32767,-61,32767,32767
1421149039,32767,-28,32767,-28,32767,32767,32767,32767
1421153039,32767,32767,32767,32767,32767,32767,32767,32767
1421157038,32767,32767,32767,32767,-67,32767,-96,-96
1421161039,32767,32767,32767,32767,32767,32767,32767,32767
1421165039,32767,32767,32767,32767,32767,32767,32767,32767
1421169058,32767,32767,32767,32767,-60,-50,32767,32767
1421173038,32767,32767,32767,32767,32767,32767,-72,-72
1421177038,32767,32767,32767,32767,32767,32767,32767,32767
1421181039,32767,32767,32767,32767,-68,32767,32767,32767
1421185040,32767,32767,32767,32767,32767,32767,32767,32767
1421189038,32767,32767,32767,32767,32767,32767,-41,-41
1421193038,32767,32767,32767,32767,32767,-66,32767,32767
1421197059,32767,32767,32767,32767,32767,32767,32767,32767
1421201038,32767,32767,32767,32767,32767,32767,32767,32767
1421205038,32767,32767,32767,32767,-69,32767,32767,32767
1421221038,32767,32767,32767,32767,32767,32767,32767,32767
1421225060,32767,32767,32767,32767,32767,32767,32767,32767
1421229038,32767,32767,-57,32767,-69,32767,32767,32767
1421233038,32767,32767,32767,32767,32767,32767,32767,32767
1421237038,32767,32767,32767,32767,32767,32767,32767,32767
1421241038,32767,32767,32767,32767,32767,-63,32767,32767
1421245038,32767,32767,32767,32767,32767,32767,-66,-66
1421249041,32767,32767,32767,32767,-48,32767,32767,32767
1421253061,32767,-20,32767,-20,32767,32767,32767,32767
1421257041,32767,32767,32767,32767,32767,32767,32767,32767
1421261038,32767,32767,32767,32767,-48,32767,32767,32767
1421265038,32767,32767,32767,32767,32767,-66,-75,-75
1421269073,32767,32767,32767,32767,32767,32767,32767,32767
1421273038,32767,32767,32767,32767,-48,32767,32767,32767
1421277038,32767,32767,32767,32767,32767,32767,32767,32767
1421281060,32767,32767,32767,32767,32767,32767,32767,32767
1421285041,32767,32767,32767,32767,32767,32767,-83,-83
1421289038,32767,32767,32767,32767,32767,-62,32767,32767
1421293041,32767,32767,32767,32767,32767,32767,32767,32767
1421297038,32767,32767,32767,32767,32767,32767,32767,32767
1421301038,32767,32767,32767,32767,-68,32767,-41,-41
1421305040,32767,32767,32767,32767,32767,32767,32767,32767
1421309060,32767,32767,32767,32767,-48,32767,32767,32767
1421313038,32767,32767,32767,32767,32767,-66,32767,32767
1421317041,32767,32767,32767,32767,32767,32767,32767,32767
1421321038,32767,32767,32767,32767,-48,32767,32767,32767
1421325038,32767,32767,32767,32767,32767,32767,32767,32767
1421329039,32767,32767,32767,32767,32767,32767,32767,32767
1421333038,32767,32767,32767,32767,32767,32767,32767,32767
1421337060,32767,32767,32767,32767,32767,-66,32767,32767
1421341038,32767,32767,32767,32767,32767,32767,-83,-83
1421345039,32767,32767,32767,32767,32767,32767,32767,32767
1421349038,32767,32767,32767,32767,-67,32767,32767,32767
1421353040,32767,32767,32767,32767,32767,32767,32767,32767
1421357040,32767,-23,32767,-23,32767,32767,32767,32767
1421361038,32767,32767,32767,32767,-57,32767,-93,-93
1421365061,32767,32767,32767,32767,32767,-88,32767,32767
1421369038,32767,32767,32767,32767,32767,32767,32767,32767
1421373038,32767,32767,32767,32767,-58,32767,32767,32767
1421377040,32767,32767,32767,32767,32767,32767,-53,-53
1421381040,32767,32767,32767,32767,32767,32767,32767,32767
1421385039,32767,32767,32767,32767,32767,32767,32767,32767
