timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1444930027,1444929838,0.063160986,-0.025870983,0.026872579,0.7090088,0.0,0.0,0.0,-1.0
1445030027,1445029838,0.095954984,-0.038919613,0.01975096,0.7023844,0.0,0.0,0.0,-1.0
1445130822,1445130638,-0.0059374534,-0.03955684,0.022661764,0.70034117,0.0,0.0,0.0,-1.0
1445234779,1445234638,-0.08379072,-0.03418099,0.015142804,0.6920688,0.0,0.0,0.0,-1.0
1445334840,1445334638,-0.094330475,-0.044808228,0.014200565,0.6995579,0.0,0.0,0.0,-1.0
1445434778,1445434638,0.03533391,-0.024647798,0.014529475,0.7070027,0.0,0.0,0.0,-1.0
1445539626,1445539438,0.08129977,-0.0060053384,0.008352962,0.70780873,0.0,0.0,0.0,-1.0
1445639645,1445639438,0.10445042,-0.033563476,0.009884687,0.705634,0.0,0.0,0.0,-1.0
1445739627,1445739438,0.0009771343,-0.04199241,0.002039604,0.69602025,0.0,0.0,0.0,-1.0
1445843633,1445843438,-0.087150894,-0.047459986,0.0018045958,0.69478846,0.0,0.0,0.0,-1.0
1445948424,1445948238,-0.11431196,-0.04187712,-0.0006431155,0.6956477,0.0,0.0,0.0,-1.0
1446052435,1446052238,-0.089295685,-0.041629996,0.0022806386,0.6984143,0.0,0.0,0.0,-1.0
1446152382,1446152238,0.034180917,-0.032767907,-0.002071526,0.70423335,0.0,0.0,0.0,-1.0
1446256434,1446256238,0.09914823,-0.010029944,0.007573967,0.7113323,0.0,0.0,0.0,-1.0
1446357233,1446357040,0.07902458,-0.035050765,0.0056918077,0.70375574,0.0,0.0,0.0,-1.0
1446457223,1446457038,-0.06926772,-0.05239115,0.007540716,0.69567984,0.0,0.0,0.0,-1.0
1446561224,1446561038,-0.12962607,-0.047740728,0.008992743,0.6937789,0.0,0.0,0.0,-1.0
1446661223,1446661038,-0.06887551,-0.052849438,0.016126283,0.70208204,0.0,0.0,0.0,-1.0
1446761978,1446761838,0.005040318,-0.05469699,0.020282205,0.70378345,0.0,0.0,0.0,-1.0
1446866040,1446865838,0.077564456,-0.029088866,0.018444268,0.70685184,0.0,0.0,0.0,-1.0
1446965978,1446965838,0.10162866,-0.04707494,0.02507608,0.7053632,0.0,0.0,0.0,-1.0
1447066829,1447066639,-0.030001044,-0.07028821,0.01867603,0.6981671,0.0,0.0,0.0,-1.0
1447166821,1447166638,-0.11921245,-0.04348122,0.016689274,0.69727707,0.0,0.0,0.0,-1.0
1447270813,1447270675,-0.073508576,-0.027047519,0.020758308,0.702494,0.0,0.0,0.0,-1.0
1447370829,1447370640,0.044394467,-0.011811088,0.015972747,0.71121186,0.0,0.0,0.0,-1.0
1447474776,1447474638,0.10690154,-0.030677244,0.021925498,0.70423144,0.0,0.0,0.0,-1.0
1447575578,1447575439,0.07369809,-0.056564357,0.021873504,0.704376,0.0,0.0,0.0,-1.0
1447675586,1447675439,-0.101917,-0.038889065,0.010539383,0.69579726,0.0,0.0,0.0,-1.0
1447779626,1447779438,-0.1120915,-0.042753473,0.013940836,0.69852185,0.0,0.0,0.0,-1.0
1447883621,1447883438,-0.07749026,-0.020484267,0.013173587,0.6993148,0.0,0.0,0.0,-1.0
1447984426,1447984238,0.04914447,-0.022988288,0.014022388,0.7034101,0.0,0.0,0.0,-1.0
1448084438,1448084238,0.112937704,-0.035818327,0.015271717,0.70312274,0.0,0.0,0.0,-1.0
1448188424,1448188238,0.097780645,-0.020661917,0.014355034,0.70472515,0.0,0.0,0.0,-1.0
1448288386,1448288238,-0.062691756,-0.05836329,0.011488726,0.6934642,0.0,0.0,0.0,-1.0
1448389226,1448389038,-0.12319903,-0.02631626,0.0067180507,0.69284564,0.0,0.0,0.0,-1.0
1448493234,1448493038,-0.07428302,-0.044903196,0.00785695,0.7004449,0.0,0.0,0.0,-1.0
1448593187,1448593038,0.02358851,-0.029118113,0.0064289654,0.7018669,0.0,0.0,0.0,-1.0
1448693265,1448693060,0.120007366,-0.009880418,0.009743989,0.7071041,0.0,0.0,0.0,-1.0
1448798037,1448797838,0.10820302,-0.030292735,0.008103053,0.7037602,0.0,0.0,0.0,-1.0
1448897991,1448897838,-0.04112102,-0.02944389,0.0061866716,0.6969827,0.0,0.0,0.0,-1.0
1448998027,1448997838,-0.114927515,-0.036372464,0.0068348898,0.69731456,0.0,0.0,0.0,-1.0
1449102021,1449101838,-0.060498826,-0.03432586,0.008937829,0.70330554,0.0,0.0,0.0,-1.0
1449202871,1449202681,0.06984768,0.0013659904,0.008824159,0.71344376,0.0,0.0,0.0,-1.0
1449302776,1449302638,0.11928575,-0.018159263,0.019175392,0.7098619,0.0,0.0,0.0,-1.0
1449406836,1449406638,0.09797388,-0.032628357,0.012269858,0.70008564,0.0,0.0,0.0,-1.0
1449506827,1449506638,-0.03937431,-0.044468205,0.012538122,0.6938752,0.0,0.0,0.0,-1.0
1449607672,1449607438,-0.10568309,-0.038700413,0.014381085,0.69615877,0.0,0.0,0.0,-1.0
1449711643,1449711440,-0.06569314,-0.037263665,0.017303556,0.7039767,0.0,0.0,0.0,-1.0
1449811644,1449811438,0.060362328,-0.04161191,0.018856222,0.70787036,0.0,0.0,0.0,-1.0
1449911627,1449911438,0.12389223,-0.016689511,0.029764688,0.70847243,0.0,0.0,0.0,-1.0
1450012436,1450012238,0.03267317,-0.026560057,0.024495993,0.7059486,0.0,0.0,0.0,-1.0
1450116446,1450116254,-0.070711926,-0.03978368,0.024093451,0.6964754,0.0,0.0,0.0,-1.0
1450216427,1450216238,-0.08618479,-0.027985029,0.026441827,0.7059003,0.0,0.0,0.0,-1.0
1450320440,1450320244,-0.02836519,-0.025128424,0.026780143,0.70731515,0.0,0.0,0.0,-1.0
1450421199,1450421038,0.10078475,-0.021913137,0.027467526,0.70753706,0.0,0.0,0.0,-1.0
1450521224,1450521039,0.108035535,-0.06356613,0.034424193,0.70363075,0.0,0.0,0.0,-1.0
1450621239,1450621039,-0.023901388,-0.048995227,0.033368185,0.69815326,0.0,0.0,0.0,-1.0
1450725232,1450725038,-0.10289852,-0.05105986,0.031069588,0.7001203,0.0,0.0,0.0,-1.0
1450826030,1450825838,-0.06728216,-0.043110084,0.031815153,0.70275235,0.0,0.0,0.0,-1.0
1450926049,1450925840,0.06680403,-0.023780182,0.033716287,0.71030307,0.0,0.0,0.0,-1.0
1451030026,1451029838,0.11542933,-0.030536348,0.037166037,0.70192325,0.0,0.0,0.0,-1.0
1451129976,1451129838,0.06724118,-0.02768658,0.030458204,0.7017222,0.0,0.0,0.0,-1.0
1451230822,1451230638,-0.07031323,-0.041135386,0.031173777,0.6996739,0.0,0.0,0.0,-1.0
1451334827,1451334638,-0.10330337,-0.023525206,0.027467793,0.69322085,0.0,0.0,0.0,-1.0
1451434820,1451434638,-0.057810985,-0.032615848,0.031931452,0.7001636,0.0,0.0,0.0,-1.0
1451535003,1451534638,0.07090938,-0.029966626,0.036501475,0.7035125,0.0,0.0,0.0,-1.0
1451639628,1451639438,0.11075461,-0.01916425,0.038378295,0.70480216,0.0,0.0,0.0,-1.0
1451739631,1451739441,0.107233554,-0.04454507,0.041555747,0.69830126,0.0,0.0,0.0,-1.0
