timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1421166248,4,1686.121,1726.3066,1629.971,1650.5448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421269374,4,1687.5016,1730.6097,1622.3198,1663.713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421369349,4,1692.2792,1725.8022,1621.612,1656.0553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421474932,4,1701.5234,1722.132,1635.5149,1644.4385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421574260,4,1694.8429,1726.8385,1627.2253,1651.6765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421674140,4,1701.7949,1719.8912,1630.6941,1650.8864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421778153,4,1700.5404,1722.68,1627.8112,1650.9023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421878045,4,1686.4298,1736.1139,1624.9196,1650.8153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421980122,4,1702.4845,1720.6086,1627.06,1655.4083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422078855,4,1694.6857,1725.2968,1621.4059,1651.5165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422183182,4,1686.3922,1725.8634,1622.8259,1656.0989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422282927,4,1692.4052,1721.8029,1629.4232,1657.7401,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422383931,4,1685.007,1725.0564,1618.9956,1658.8037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422487929,4,1681.1085,1721.9839,1623.8013,1659.6978,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422587652,4,1689.7797,1719.5844,1632.4243,1659.9835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422691662,4,1681.9691,1724.0841,1656.6849,1635.0093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422792472,4,1682.5413,1730.9489,1635.8837,1664.815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422892526,4,1685.7278,1724.0604,1630.6111,1664.4225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1422993130,4,1687.4459,1720.835,1637.3702,1659.1226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1423096544,4,1681.8906,1722.9995,1635.0947,1657.611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1423196459,4,1684.2583,1722.1185,1639.9479,1653.7417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1423297277,4,1679.652,1722.7307,1634.2893,1657.8243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1423401260,4,1676.8528,1728.2579,1627.1093,1667.4984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1423501334,4,1668.9624,1727.7351,1617.5652,1665.2899,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1423605452,4,1679.0748,1727.029,1632.8848,1658.5272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
