timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
1435038289,1550508374275448,-1550506939247959,-1550506939240427,21592
1435258283,1550508374492597,-1550506939255048,-1550506939240427,41461
1435346500,1550508374584229,-1550506939251841,-1550506939240427,28208
1435440344,1550508374675985,-1550506939246977,-1550506939240427,22664
1435531804,1550508374767364,-1550506939242867,-1550506939240427,13660
1435642274,1550508374878112,-1550506939247594,-1550506939240427,23506
1435735296,1550508374969253,-1550506939242089,-1550506939240427,16258
1435845733,1550508375079736,-1550506939247495,-1550506939240427,26979
1435934008,1550508375171099,-1550506939244824,-1550506939240427,15453
1436046495,1550508375282047,-1550506939248842,-1550506939240427,26574
1436136019,1550508375374058,-1550506939246154,-1550506939240427,15301
1436264286,1550508375499642,-1550506939255642,-1550506939240427,40566
1436353966,1550508375591684,-1550506939253034,-1550506939240427,30626
1436445513,1550508375683593,-1550506939247159,-1550506939240427,18150
1436556316,1550508375793109,-1550506939250502,-1550506939240427,27404
1436649280,1550508375884224,-1550506939245601,-1550506939240427,21300
1436759585,1550508375996335,-1550506939250626,-1550506939240427,25438
1436850519,1550508376087931,-1550506939246054,-1550506939240427,17269
1436942513,1550508376180468,-1550506939242811,-1550506939240428,9679
1437053210,1550508376289946,-1550506939246730,-1550506939240428,19974
1437177412,1550508376414996,-1550506939259571,-1550506939240428,43966
1437271274,1550508376507397,-1550506939254880,-1550506939240428,37508
1437361932,1550508376598951,-1550506939250600,-1550506939240428,27156
1437455288,1550508376690686,-1550506939245833,-1550506939240428,20864
1437544913,1550508376782151,-1550506939242047,-1550506939240427,9579
1437655551,1550508376893825,-1550506939248849,-1550506939240427,21142
1437749981,1550508376983855,-1550506939241106,-1550506939240427,14450
1437859287,1550508377094796,-1550506939247649,-1550506939240427,24265
1437947550,1550508377185423,-1550506939244183,-1550506939240427,12612
1438061989,1550508377296653,-1550506939245598,-1550506939240427,21863
1438152668,1550508377387864,-1550506939244168,-1550506939240427,17175
1438368685,1550508377606074,-1550506939254167,-1550506939240427,33548
1438460292,1550508377697419,-1550506939249004,-1550506939240427,23739
1438553338,1550508377788931,-1550506939244694,-1550506939240427,18194
1438644112,1550508377881077,-1550506939242384,-1550506939240427,10823
1438755291,1550508377990961,-1550506939245153,-1550506939240427,18951
1438845514,1550508378083183,-1550506939242076,-1550506939240426,8772
1438956663,1550508378193189,-1550506939246501,-1550506939240426,19942
1439050337,1550508378285483,-1550506939241702,-1550506939240426,13106
1439158573,1550508378396015,-1550506939248749,-1550506939240426,22608
1439378287,1550508378613556,-1550506939255392,-1550506939240426,40233
1439469533,1550508378704906,-1550506939249409,-1550506939240426,28065
1439562738,1550508378797311,-1550506939245268,-1550506939240426,20522
1439653400,1550508378889950,-1550506939242475,-1550506939240426,11842
1439766733,1550508378999615,-1550506939246622,-1550506939240426,27466
1439873613,1550508379108782,-1550506939250470,-1550506939240426,30596
1439966197,1550508379200595,-1550506939246166,-1550506939240426,23515
1440074133,1550508379311426,-1550506939252739,-1550506939240426,30879
1440166170,1550508379402462,-1550506939246407,-1550506939240426,16983
